시설명,시설구분,소재지도로명주소,소재지지번주소,위도,경도,전화번호,운영주체구분,관리기관,기준일
힘찬노인복지센터,재가노인복지시설,"경기도 수원시 영통구 효원로 383, 10층 1001호 (매탄동, 매탄프라자)",경기도 수원시 영통구 매탄동 1267-2,37.25927242,127.0436268,031-216-9952,개인,수원시 어르신돌봄과,2025-04-11
삼성노인복지센터,재가노인복지시설,"경기도 수원시 영통구 반달로7번길 16, 5층 509호 (영통동)",경기도 수원시 영통구 영통동 998-4,37.25265793,127.0743947,031-895-6601,개인,수원시 어르신돌봄과,2025-04-11
헬레나재활 주간보호센터,재가노인복지시설,"경기도 수원시 영통구 영통로 103, 203호 (망포동)",경기도 수원시 영통구 망포동 570-5,37.23738964,127.0583121,031-204-2631,개인,수원시 어르신돌봄과,2025-04-11
수원 참 인지재활 주간보호센터,재가노인복지시설,"경기도 수원시 영통구 태장로 81, 6층 (망포동, 신영통E타운)",경기도 수원시 영통구 망포동 382-3,37.2397824,127.0548414,031-203-7496,개인,수원시 어르신돌봄과,2025-04-11
효성 방문요양센터,재가노인복지시설,"경기도 수원시 영통구 봉영로1770번길 21, 301호 (영통동, 한국아파트)",경기도 수원시 영통구 영통동 1054-4,37.26741745,127.0830811,031-273-9123,개인,수원시 어르신돌봄과,2025-04-11
부모사랑 재가복지센터,재가노인복지시설,"경기도 수원시 영통구 매탄로168번길 24, 1층 (매탄동)",경기도 수원시 영통구 매탄동 833-6,37.26489752,127.0467282,031-211-0074,개인,수원시 어르신돌봄과,2025-04-11
올바른방문요양센터,재가노인복지시설,"경기도 수원시 영통구 매원로12번길 9, 103호 (매탄동)",경기도 수원시 영통구 매탄동 209-20,37.26617751,127.0472778,0507-1472-0393,개인,수원시 어르신돌봄과,2025-04-11
광교주야간보호센터,재가노인복지시설,"경기도 수원시 영통구 웰빙타운로36번길 46-121, 201, 301호 (이의동)",경기도 수원시 영통구 이의동 586-1,37.30949679,127.0518689,031-242-8884,개인,수원시 어르신돌봄과,2025-04-11
영통고은빛 방문요양,재가노인복지시설,"경기도 수원시 영통구 동수원로537번길 35-2, B층 (원천동)",경기도 수원시 영통구 원천동 72-54,37.27452983,127.0469657,031-265-3371,개인,수원시 어르신돌봄과,2025-04-11
건강샘재가복지센터,재가노인복지시설,"경기도 수원시 영통구 영통로501번길 28-1, 5층 (영통동)",경기도 수원시 영통구 영통동 952-5,37.26477896,127.0769114,031-294-2102,개인,수원시 어르신돌봄과,2025-04-11
새봄재가복지매탄센터,재가노인복지시설,"경기도 수원시 영통구 산남로 87, 1층 104호 (매탄동)",경기도 수원시 영통구 매탄동 196-136,37.27079218,127.0492913,031-213-5535,개인,수원시 어르신돌봄과,2025-04-11
으뜸재가복지센터,재가노인복지시설,"경기도 수원시 영통구 매여울로 3-1, 101호 (매탄동)",경기도 수원시 영통구 매탄동 199-10,37.27016224,127.0486812,031-212-2204,개인,수원시 어르신돌봄과,2025-04-11
삼성재가케어센터,재가노인복지시설,"경기도 수원시 영통구 삼성로 274, 143, 144호 (원천동)",경기도 수원시 영통구 원천동 332-2,37.26561297,127.064363,031-212-5118,개인,수원시 어르신돌봄과,2025-04-11
더사랑 재가복지센터,재가노인복지시설,"경기도 수원시 영통구 광교중앙로 236, 201호 (하동)",경기도 수원시 영통구 하동 987-2,37.2917575,127.0660602,031-212-6443,개인,수원시 어르신돌봄과,2025-04-11
영통노인주간보호센터,재가노인복지시설,"경기도 수원시 영통구 반달로 45, 2층 (영통동)",경기도 수원시 영통구 영통동 1012-5,37.25068498,127.0773858,031-201-8356,법인,수원시 어르신돌봄과,2025-04-11
채움케어재가복지센터,재가노인복지시설,"경기도 수원시 영통구 광교중앙로 170, A동 810호 (하동)",경기도 수원시 영통구 하동 1016,37.28812459,127.0607027,031-302-1486,개인,수원시 어르신돌봄과,2025-04-11
홈닥터 방문간호센터,재가노인복지시설,"경기도 수원시 영통구 광교중앙로 232, 301호 (하동, 드림타워4)",경기도 수원시 영통구 하동 987,37.29158774,127.0655942,070-4801-6679,개인,수원시 어르신돌봄과,2025-04-11
금손재가복지센터,재가노인복지시설,"경기도 수원시 영통구 대학4로 42, 102호 (이의동)",경기도 수원시 영통구 이의동 1242,37.29863614,127.0485109,031-212-8864,개인,수원시 어르신돌봄과,2025-04-11
실버디바이스,재가노인복지시설,"경기도 수원시 영통구 법조로 25, 오피스동 2704호 (하동, 광교 SK VIEW Lake)",경기도 수원시 영통구 하동 1016-1,37.28748089,127.0601784,070-8800-3259,법인,수원시 어르신돌봄과,2025-04-11
가족사랑드림 복지용구,재가노인복지시설,"경기도 수원시 영통구 매탄로 202, 1층 (매탄동)",경기도 수원시 영통구 매탄동 207-20,37.26816994,127.0469332,070-7578-4564,법인,수원시 어르신돌봄과,2025-04-11
중앙양로원,노인주거복지시설,경기도 수원시 권선구 서수원로53번길 25-43 (오목천동),경기도 수원시 권선구 오목천동 1169,37.2317435,126.9791087,031-291-2188,법인,수원시 어르신돌봄과,2025-04-11
아녜스의집,노인주거복지시설,경기도 수원시 장안구 서부로 2162-12 (천천동),경기도 수원시 장안구 천천동 575-1 아녜스의집,37.30078602,126.974097,031-269-1009,법인,수원시 어르신돌봄과,2025-04-11
감천장양로원,노인주거복지시설,경기도 수원시 장안구 광교산로 22 (영화동),경기도 수원시 장안구 영화동 33-1 감천장,37.29328794,127.0211627,031-251-1951,법인,수원시 어르신돌봄과,2025-04-11
평화의모후원,노인주거복지시설,경기도 수원시 장안구 수일로179번길 35(조원동),경기도 수원시 장안구 조원동 136-1 평화의모후원,37.30882217,127.0087752,031-241-1466,법인,수원시 어르신돌봄과,2025-04-11
보훈원,노인주거복지시설,경기도 수원시 장안구 광교산로 97 (하광교동),경기도 수원시 장안구 하광교동 428-2 국립보훈원,37.29893402,127.0264864,031-250-1521,법인,수원시 어르신돌봄과,2025-04-11
유당마을,노인주거복지시설,경기도 수원시 장안구 수일로191번길 26 (조원동),경기도 수원시 장안구 조원동 119-3번지,37.30929846,127.0106002,031-242-0079,법인,수원시 어르신돌봄과,2025-04-11
광교아르데코,노인주거복지시설,경기도 수원시 영통구 광교로42번길 80 (이의동),경기도 수원시 영통구 이의동 1358번지,37.28660163,127.0445123,031-215-3435,법인,수원시 어르신돌봄과,2025-04-11
광교 두산위브,노인주거복지시설,경기도 수원시 영통구 광교중앙로 55 (원천동),경기도 수원시 영통구 원천동 556번지,37.28036265,127.0512392,031-308-9400,법인,수원시 어르신돌봄과,2025-04-11
